C:\Users\HP\anaconda3\python.exe C:/Users/HP/PycharmProjects/OpenCV_Examples/HTR.py
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	230	220	-1	
2	1	1	0	0	0	65	17	87	191	-1	
3	1	1	1	0	0	65	17	87	191	-1	
4	1	1	1	1	0	78	17	47	16	-1	
5	1	1	1	1	1	78	17	47	16	96	The
4	1	1	1	2	0	73	48	53	21	-1	
5	1	1	1	2	1	73	48	53	21	73	days
4	1	1	1	3	0	73	82	42	13	-1	
5	1	1	1	3	1	73	82	42	13	89	are
4	1	1	1	4	0	71	107	46	17	-1	
5	1	1	1	4	1	71	107	46	17	79	cola
4	1	1	1	5	0	67	132	61	17	-1	
5	1	1	1	5	1	67	132	61	17	47	living
4	1	1	1	6	0	65	158	87	20	-1	
5	1	1	1	6	1	65	158	87	20	78	without
4	1	1	1	7	0	67	190	40	18	-1	
5	1	1	1	7	1	67	190	40	18	52	Nov

Process finished with exit code 0
