C:\Users\HP\anaconda3\python.exe C:/Users/HP/PycharmProjects/OpenCV_Examples/HTR.py
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	271	186	-1	
2	1	1	0	0	0	45	12	163	82	-1	
3	1	1	1	0	0	45	12	163	82	-1	
4	1	1	1	1	0	45	12	158	25	-1	
5	1	1	1	1	1	45	14	96	23	94	TODAY
5	1	1	1	1	2	161	12	42	25	71	isa
4	1	1	1	2	0	56	52	152	42	-1	
5	1	1	1	2	1	56	55	66	38	61	qood
5	1	1	1	2	2	142	52	66	42	96	day!
2	1	2	0	0	0	47	117	195	54	-1	
3	1	2	1	0	0	47	117	195	54	-1	
4	1	2	1	1	0	54	117	159	28	-1	
5	1	2	1	1	1	54	122	35	23	93	MY
5	1	2	1	1	2	106	120	65	18	50	TEAM
5	1	2	1	1	3	188	117	25	20	87	is
4	1	2	1	2	0	47	145	195	26	-1	
5	1	2	1	2	1	47	151	41	20	76	The
5	1	2	1	2	2	107	150	54	21	92	best
5	1	2	1	2	3	178	145	64	23	88	Tean!

Process finished with exit code 0
